id_vivienda;id_hogar;id_hogar_unico;id_variedad;descripcion;id_unidad_medida_presentacion;id_unidad_medida;Q;cantidad_inicial;cantidad_final;factor_anual;unidad_a_convertir;fc_universal;fc_especifico;fc;descripcion_engih;enhance_id;fuente;tipo_equivalencia;validado;edible;PM
339;1;339_1;28;HABICHUELAS ENLATADAS;63;4;1;1;0;415.510416666666;63;NA;NA;NA;HABICHUELAS ENLATADAS;70209057;INCAP;sustituto_por_criterio;TRUE;1,00;7
339;1;339_1;29;AZUCARES;NA;2;0;2;1;415.510416666666;2;453.592;NA;453.592;AZUCARES;70215001;INCAP;directa;TRUE;1,00;7
339;1;339_1;30;CHOCOLATE O COCOA;105;4;0.25;0.25;0;415.510416666666;105;NA;NA;NA;CHOCOLATE O COCOA;70217047;INCAP;requiere_revision;TRUE;1,00;7
385;1;385_1;1;PANES;NA;1;4;4;0;462.716666666665;1;NA;NA;NA;PANES;70214131;INCAP;sustituto_por_criterio;TRUE;1,00;7
217;1;217_1;4;HARÍNA DE MAÍZ;56;4;1;3;2;389.15625;56;NA;NA;NA;HARÍNA DE MAÍZ;70213031;INCAP;sustituto_por_criterio;TRUE;1,00;7
217;1;217_1;5;AVENA;56;2;0.5;1;0.5;389.15625;56;NA;NA;NA;AVENA;70213008;INCAP;directa;TRUE;1,00;7
217;1;217_1;6;FIEDOS O SPAGUETTIS (PASTAS);8;2;1;3;2;389.15625;8;NA;NA;NA;FIEDOS O SPAGUETTIS (PASTAS);70213060;INCAP;directa;TRUE;1,00;7
217;1;217_1;13;LECHE LÍQUIDA;31;7;1;1;0;389.15625;31;NA;NA;NA;LECHE LíQUIDA;70201015;INCAP;directa;TRUE;1,00;7
217;1;217_1;16;ACEITE;57;2;1.5;2.5;1;389.15625;57;3785.41;3785410;3785.41;ACEITE;70216010;INCAP;directa;TRUE;1,00;7
217;1;217_1;17;MANTEQUILLA;105;2;0.5;1;0.5;389.15625;105;NA;NA;NA;MANTEQUILLA;70216015;INCAP;requiere_revision;TRUE;1,00;7
